author,id,title
705,52692,"Homeri Carmina et Cycli Epici Reliquiæ. Pars Prima: Ilias (Latin)"
705,30615,"Ομήρου Οδύσσεια Τόμος Γ (Modern Greek (1453-))"
705,52927,"L'Odyssée (French)"
705,13725,"Stories from the Odyssey"
705,52693,"Homeri Carmina et Cycli Epici Reliquiæ. Pars Secunda: Odyssea (Latin)"
705,30613,"Ομήρου Οδύσσεια Τόμος Α (Modern Greek (1453-))"
705,16990,"The Story of Troy"
705,24856,"Odysseus, the Hero of Ithaca"
94,1497,"The Republic"
94,1600,"Symposium"
94,1636,"Phaedrus"
94,55201,"The Republic of Plato"
94,1658,"Phaedo"
94,1656,"Apology"
94,1672,"Gorgias"
94,1643,"Meno"
94,1642,"Euthyphro"
94,1750,"Laws"
94,1726,"Theaetetus"
94,1572,"Timaeus"
94,1591,"Protagoras"
94,1635,"Ion"
94,1571,"Critias"
94,1735,"Sophist"
94,1738,"Statesman"
94,1657,"Crito"
94,1744,"Philebus"
94,1687,"Parmenides"
94,1682,"Menexenus"
94,1616,"Cratylus"
94,1580,"Charmides"
94,1579,"Lysis"
94,1598,"Euthydemus"
90,145,"Middlemarch"
90,550,"Silas Marner"
90,6688,"The Mill on the Floss"
90,28289,"The Essays of George Eliot"
90,507,"Adam Bede"
90,7469,"Daniel Deronda"
90,2165,"The Lifted Veil"
90,43043,"George Eliot's Life, as Related in Her Letters and Journals. Vol. 1 (of 3)"
90,64037,"The Life of Jesus Critically Examined"
90,40882,"Felix Holt, the Radical"
90,47025,"The Essence of Christianity"
90,24020,"Romola"
90,17780,"Scenes of Clerical Life"
